Timestamp,X,Y,Window Title
2024-12-20 18:09:14,619,34,track.py - harry bhai course - Python - Visual Studio Code
2024-12-20 18:13:58,474,26,track.py - harry bhai course - Python - Visual Studio Code
2024-12-20 18:14:04,479,585,(6) Data scientist turned entrepreneur turned horse lover #horseriding #machinelearningengineer #horse - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:14:18,527,577,(6) #skincare #shorts #trending #viral #ytshorts #homeremedies #viralvideo - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:14:25,527,577,(6) #skincare #shorts #trending #viral #ytshorts #homeremedies #viralvideo - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:14:30,527,577,(6) YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:14:32,1862,763,(6) YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:14:39,514,601,(6) World's Angriest Woman Found? 😡 - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:14:47,509,469,(6) World's Angriest Woman Found? 😡 - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:14:55,602,26,(6) World's Angriest Woman Found? 😡 - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:15:00,500,28,ChatGPT and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:15:02,579,687,(6) World's Angriest Woman Found? 😡 - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:16:02,745,451,(6) World's Angriest Woman Found? 😡 - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:16:51,756,437,(6) World's Angriest Woman Found? 😡 - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:17:55,458,599,(6) 7 de novembro de 2023 - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:17:59,413,599,(6) Gukesh World Champion favourite food is South Indian food? #chess - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:18:07,587,19,(6) Gukesh World Champion favourite food is South Indian food? #chess - YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:18:20,518,27,ChatGPT and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:18:25,462,610,(6) YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:18:28,448,108,(6) YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:18:29,888,717,(6) YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:20:12,1415,783,(6) YouTube and 3 more pages - Personal - Microsoft​ Edge
2024-12-20 18:20:17,1415,783,track.py - harry bhai course - Python - Visual Studio Code
2024-12-20 18:20:24,1734,638,track.py - harry bhai course - Python - Visual Studio Code
2024-12-20 18:20:24,1734,638,track.py - harry bhai course - Python - Visual Studio Code
2024-12-20 18:20:25,1734,638,track.py - harry bhai course - Python - Visual Studio Code
2024-12-20 18:20:29,1845,571,track.py - harry bhai course - Python - Visual Studio Code
